DataStructure,N,Run,InsertionTime_us,Height,AvgSearchTime_ns
Treap,4096,8,477,26,0
SkipList_p05,4096,8,804,10,0
SkipList_p025,4096,8,726,8,0
SkipList_p075,4096,8,894,31,0
BST,4096,9,336,28,0
AVL,4096,9,426,15,0
Treap,4096,9,471,27,0
SkipList_p05,4096,9,728,13,0
SkipList_p025,4096,9,702,8,0
SkipList_p075,4096,9,858,30,0
BST,4096,10,309,28,0
AVL,4096,10,430,14,0
Treap,4096,10,445,27,0
SkipList_p05,4096,10,722,13,0
SkipList_p025,4096,10,674,7,0
SkipList_p075,4096,10,858,32,0
BST,8192,1,670,26,0
AVL,8192,1,923,16,0
Treap,8192,1,1102,35,1
SkipList_p05,8192,1,1767,12,0
SkipList_p025,8192,1,1885,7,0
SkipList_p075,8192,1,1818,33,0
BST,8192,2,652,31,0
AVL,8192,2,852,15,0
Treap,8192,2,926,28,0
SkipList_p05,8192,2,1632,16,0
SkipList_p025,8192,2,1534,6,0
SkipList_p075,8192,2,1845,30,0
BST,8192,3,724,30,0
AVL,8192,3,822,16,0
Treap,8192,3,923,31,0
SkipList_p05,8192,3,1548,13,0
SkipList_p025,8192,3,1418,7,0
SkipList_p075,8192,3,1679,33,0
BST,8192,4,625,29,0
AVL,8192,4,837,15,0
Treap,8192,4,967,34,0
SkipList_p05,8192,4,1529,16,0
SkipList_p025,8192,4,1429,9,0
SkipList_p075,8192,4,1654,33,0
BST,8192,5,630,28,0
AVL,8192,5,783,16,0
Treap,8192,5,1012,28,0
SkipList_p05,8192,5,1527,13,0
SkipList_p025,8192,5,1472,7,0
SkipList_p075,8192,5,1806,31,0
BST,8192,6,635,29,0
AVL,8192,6,908,16,0
Treap,8192,6,918,28,0
SkipList_p05,8192,6,1587,18,0
SkipList_p025,8192,6,1536,7,0
SkipList_p075,8192,6,1803,31,0
BST,8192,7,700,27,0
AVL,8192,7,795,16,0
Treap,8192,7,919,33,0
SkipList_p05,8192,7,1561,12,0
SkipList_p025,8192,7,1572,7,0
SkipList_p075,8192,7,1748,33,0
BST,8192,8,661,28,0
AVL,8192,8,803,15,0
Treap,8192,8,903,30,0
SkipList_p05,8192,8,1505,15,0
SkipList_p025,8192,8,1777,6,0
SkipList_p075,8192,8,1722,28,0
BST,8192,9,701,29,3
AVL,8192,9,841,16,0
Treap,8192,9,911,32,0
SkipList_p05,8192,9,1576,14,0
SkipList_p025,8192,9,1617,7,0
SkipList_p075,8192,9,1773,30,0
BST,8192,10,673,31,1
AVL,8192,10,831,15,0
Treap,8192,10,913,33,0
SkipList_p05,8192,10,1542,13,0
SkipList_p025,8192,10,1621,7,0
SkipList_p075,8192,10,1751,32,0
BST,16384,1,1504,30,0
AVL,16384,1,1849,17,0
Treap,16384,1,2136,31,0
SkipList_p05,16384,1,3579,14,0
SkipList_p025,16384,1,3371,8,0
SkipList_p075,16384,1,3665,33,0
BST,16384,2,1497,35,0
AVL,16384,2,1788,17,0
Treap,16384,2,2093,34,0
SkipList_p05,16384,2,3610,21,0
SkipList_p025,16384,2,3423,7,0
SkipList_p075,16384,2,3878,33,0
BST,16384,3,1564,33,0
AVL,16384,3,1851,17,0
Treap,16384,3,2131,37,0
SkipList_p05,16384,3,3435,13,0
SkipList_p025,16384,3,3398,8,0
SkipList_p075,16384,3,3817,32,0
BST,16384,4,1450,31,0
AVL,16384,4,1900,17,0
Treap,16384,4,2066,36,0
SkipList_p05,16384,4,3347,13,0
SkipList_p025,16384,4,3464,9,0
SkipList_p075,16384,4,3680,33,0
BST,16384,5,1588,33,0
AVL,16384,5,1841,17,0
Treap,16384,5,2003,32,0
SkipList_p05,16384,5,3473,19,0
SkipList_p025,16384,5,3395,8,0
SkipList_p075,16384,5,3840,32,0
BST,16384,6,1453,30,0
AVL,16384,6,1750,17,0
Treap,16384,6,2067,38,0
SkipList_p05,16384,6,3430,13,0
SkipList_p025,16384,6,3453,8,0
SkipList_p075,16384,6,3771,33,0
BST,16384,7,1481,33,0
AVL,16384,7,1794,17,0
Treap,16384,7,2040,32,0
SkipList_p05,16384,7,3605,15,0
SkipList_p025,16384,7,3530,8,0
SkipList_p075,16384,7,3666,33,0
BST,16384,8,1587,31,0
AVL,16384,8,1785,17,0
Treap,16384,8,2022,32,0
SkipList_p05,16384,8,3568,16,0
SkipList_p025,16384,8,3382,7,0
SkipList_p075,16384,8,3738,33,0
BST,16384,9,1599,35,0
AVL,16384,9,1832,17,0
Treap,16384,9,2043,35,0
SkipList_p05,16384,9,3400,18,0
SkipList_p025,16384,9,3449,8,0
SkipList_p075,16384,9,3717,33,0
BST,16384,10,1528,33,0
AVL,16384,10,1779,17,0
Treap,16384,10,2188,34,0
SkipList_p05,16384,10,3424,16,0
SkipList_p025,16384,10,3409,8,0
SkipList_p075,16384,10,3678,33,0
BST,32768,1,3562,38,0
AVL,32768,1,4107,18,0
Treap,32768,1,4840,38,0
SkipList_p05,32768,1,7744,19,0
SkipList_p025,32768,1,7684,9,0
SkipList_p075,32768,1,7988,33,0
BST,32768,2,3460,36,0
AVL,32768,2,4008,18,0
Treap,32768,2,4636,40,0
SkipList_p05,32768,2,7497,15,0
SkipList_p025,32768,2,7763,8,0
SkipList_p075,32768,2,7881,33,0
BST,32768,3,3420,37,0
AVL,32768,3,4033,18,0
Treap,32768,3,4648,35,0
SkipList_p05,32768,3,7643,17,0
SkipList_p025,32768,3,7512,8,0
SkipList_p075,32768,3,8028,33,0
BST,32768,4,3467,34,0
AVL,32768,4,4112,18,0
Treap,32768,4,4673,40,0
SkipList_p05,32768,4,7289,14,0
SkipList_p025,32768,4,7433,8,0
SkipList_p075,32768,4,8246,33,0
BST,32768,5,3433,36,0
AVL,32768,5,4191,18,0
Treap,32768,5,4573,34,0
SkipList_p05,32768,5,7388,14,0
SkipList_p025,32768,5,7652,8,0
SkipList_p075,32768,5,9056,33,0
BST,32768,6,3737,33,2
AVL,32768,6,4270,18,0
Treap,32768,6,4535,34,0
SkipList_p05,32768,6,8403,15,0
SkipList_p025,32768,6,7785,7,0
SkipList_p075,32768,6,8446,33,0
BST,32768,7,3525,34,0
AVL,32768,7,3938,18,0
Treap,32768,7,4603,38,0
SkipList_p05,32768,7,7521,18,0
SkipList_p025,32768,7,7622,9,0
SkipList_p075,32768,7,7924,33,0
BST,32768,8,3475,34,0
AVL,32768,8,3899,18,0
Treap,32768,8,4638,36,0
SkipList_p05,32768,8,7400,16,0
SkipList_p025,32768,8,7722,8,0
SkipList_p075,32768,8,8072,33,0
BST,32768,9,3460,37,0
AVL,32768,9,4011,18,0
Treap,32768,9,4558,36,0
SkipList_p05,32768,9,7331,14,0
SkipList_p025,32768,9,7599,8,0
SkipList_p075,32768,9,7949,33,0
BST,32768,10,3449,37,0
AVL,32768,10,3998,18,0
Treap,32768,10,4596,39,0
SkipList_p05,32768,10,7307,17,0
SkipList_p025,32768,10,7519,7,0
SkipList_p075,32768,10,7905,33,0
BST,65536,1,8322,40,0
AVL,65536,1,8982,19,0
Treap,65536,1,10186,38,0
SkipList_p05,65536,1,16814,18,0
SkipList_p025,65536,1,16905,9,0
SkipList_p075,65536,1,17513,33,0
BST,65536,2,8063,38,0
AVL,65536,2,8684,19,0
Treap,65536,2,10454,39,0
SkipList_p05,65536,2,16674,18,0
SkipList_p025,65536,2,17049,11,0
SkipList_p075,65536,2,17003,33,0
BST,65536,3,8160,39,0
AVL,65536,3,8645,19,0
Treap,65536,3,10404,39,0
SkipList_p05,65536,3,16683,17,0
SkipList_p025,65536,3,16863,8,0
SkipList_p075,65536,3,17013,33,0
BST,65536,4,7935,37,0
AVL,65536,4,8842,19,0
Treap,65536,4,10211,40,0
SkipList_p05,65536,4,16368,20,0
SkipList_p025,65536,4,16975,7,0
SkipList_p075,65536,4,16761,33,0
BST,65536,5,8043,38,0
AVL,65536,5,8639,19,0
Treap,65536,5,10131,38,0
SkipList_p05,65536,5,16451,19,0
SkipList_p025,65536,5,16808,9,0
SkipList_p075,65536,5,16858,33,0
BST,65536,6,7889,36,0
AVL,65536,6,8980,20,0
Treap,65536,6,10230,38,0
SkipList_p05,65536,6,16539,15,0
SkipList_p025,65536,6,16860,9,0
SkipList_p075,65536,6,16954,33,0
BST,65536,7,8061,37,0
AVL,65536,7,8683,20,0
Treap,65536,7,10241,39,0
SkipList_p05,65536,7,16578,16,0
SkipList_p025,65536,7,16856,9,0
SkipList_p075,65536,7,17020,33,0
BST,65536,8,8253,41,0
AVL,65536,8,8730,19,0
Treap,65536,8,10132,39,0
SkipList_p05,65536,8,16676,19,0
SkipList_p025,65536,8,16894,9,0
SkipList_p075,65536,8,16675,33,0
BST,65536,9,8105,40,0
AVL,65536,9,8726,19,0
Treap,65536,9,10167,38,0
SkipList_p05,65536,9,16495,19,0
SkipList_p025,65536,9,16801,8,0
SkipList_p075,65536,9,17012,33,0
BST,65536,10,8031,40,0
AVL,65536,10,8656,19,0
Treap,65536,10,10073,41,0
SkipList_p05,65536,10,16372,14,0
SkipList_p025,65536,10,16790,10,0
SkipList_p075,65536,10,16937,33,0
BST,131072,1,19032,40,0
AVL,131072,1,20270,20,0
Treap,131072,1,24069,40,0
SkipList_p05,131072,1,37599,17,0
SkipList_p025,131072,1,38995,9,0
SkipList_p075,131072,1,38611,33,0
BST,131072,2,19910,40,0
AVL,131072,2,20920,20,0
Treap,131072,2,24148,42,0
SkipList_p05,131072,2,36828,17,0
SkipList_p025,131072,2,38591,10,0
SkipList_p075,131072,2,38198,33,0
BST,131072,3,19605,40,0
AVL,131072,3,20735,20,0
Treap,131072,3,23167,42,0
SkipList_p05,131072,3,36260,18,0
SkipList_p025,131072,3,38774,9,0
SkipList_p075,131072,3,37982,33,0
BST,131072,4,19320,38,0
AVL,131072,4,20514,21,0
Treap,131072,4,23561,40,0
SkipList_p05,131072,4,36931,18,0
SkipList_p025,131072,4,38597,8,0
SkipList_p075,131072,4,37433,33,0
BST,131072,5,19682,40,0
AVL,131072,5,20654,21,0
Treap,131072,5,23857,39,0
SkipList_p05,131072,5,36941,21,0
SkipList_p025,131072,5,39135,10,0
SkipList_p075,131072,5,37435,33,0
BST,131072,6,19524,40,0
AVL,131072,6,20403,21,0
Treap,131072,6,23220,40,0
SkipList_p05,131072,6,36765,24,0
SkipList_p025,131072,6,38750,8,0
SkipList_p075,131072,6,37560,33,0
BST,131072,7,20017,44,0
AVL,131072,7,20661,20,0
Treap,131072,7,23414,44,0
SkipList_p05,131072,7,36630,18,0
SkipList_p025,131072,7,38422,9,0
SkipList_p075,131072,7,37786,33,0
BST,131072,8,19997,45,0
AVL,131072,8,21847,21,0
Treap,131072,8,24990,37,0
SkipList_p05,131072,8,49018,16,0
SkipList_p025,131072,8,44049,10,0
SkipList_p075,131072,8,38407,33,0
BST,131072,9,20028,43,0
AVL,131072,9,20015,20,0
Treap,131072,9,23671,39,0
SkipList_p05,131072,9,36717,17,0
SkipList_p025,131072,9,38024,10,0
SkipList_p075,131072,9,37557,33,0
BST,131072,10,19316,45,0
AVL,131072,10,20513,20,0
Treap,131072,10,23232,41,0
SkipList_p05,131072,10,36093,15,0
SkipList_p025,131072,10,38049,8,0
SkipList_p075,131072,10,37602,33,0
BST,262144,1,46693,44,1
AVL,262144,1,47051,21,0
Treap,262144,1,55799,48,0
SkipList_p05,262144,1,87084,20,0
SkipList_p025,262144,1,95513,9,0
SkipList_p075,262144,1,91269,33,0
BST,262144,2,46417,41,0
AVL,262144,2,48651,22,0
Treap,262144,2,57312,45,0
SkipList_p05,262144,2,89886,20,0
SkipList_p025,262144,2,93760,9,0
SkipList_p075,262144,2,90653,33,0
BST,262144,3,47513,45,0
AVL,262144,3,48160,22,0
Treap,262144,3,56757,42,0
SkipList_p05,262144,3,90949,19,0
SkipList_p025,262144,3,95329,10,0
SkipList_p075,262144,3,90087,33,0
BST,262144,4,48981,46,0
AVL,262144,4,48433,21,0
Treap,262144,4,57294,42,0
SkipList_p05,262144,4,88922,20,0
SkipList_p025,262144,4,95577,10,0
SkipList_p075,262144,4,91245,33,0
BST,262144,5,48351,47,0
AVL,262144,5,47948,22,0
Treap,262144,5,58674,45,0
SkipList_p05,262144,5,88410,18,0
SkipList_p025,262144,5,95995,10,0
SkipList_p075,262144,5,90946,33,0
BST,262144,6,47483,48,0
AVL,262144,6,47651,21,0
Treap,262144,6,56819,43,0
SkipList_p05,262144,6,88677,20,0
SkipList_p025,262144,6,95361,9,0
SkipList_p075,262144,6,89228,33,0
BST,262144,7,46401,47,0
AVL,262144,7,47650,21,0
Treap,262144,7,56602,43,0
SkipList_p05,262144,7,90400,20,0
SkipList_p025,262144,7,100763,9,0
SkipList_p075,262144,7,93555,33,0
BST,262144,8,49371,45,0
AVL,262144,8,49012,22,0
Treap,262144,8,57764,41,0
SkipList_p05,262144,8,92323,16,0
SkipList_p025,262144,8,99280,10,0
SkipList_p075,262144,8,129262,33,0
BST,262144,9,53519,47,0
AVL,262144,9,52586,22,0
Treap,262144,9,64530,43,0
SkipList_p05,262144,9,118106,22,0
SkipList_p025,262144,9,111763,10,0
SkipList_p075,262144,9,98571,33,0
BST,262144,10,48946,45,0
AVL,262144,10,47846,22,0
Treap,262144,10,57571,43,0
SkipList_p05,262144,10,89233,20,0
SkipList_p025,262144,10,98309,9,0
SkipList_p075,262144,10,93708,33,0
BST,524288,1,115443,50,0
AVL,524288,1,134774,22,0
Treap,524288,1,145798,47,0
SkipList_p05,524288,1,275007,21,0
SkipList_p025,524288,1,289037,11,0
SkipList_p075,524288,1,250244,33,0
BST,524288,2,113287,49,0
AVL,524288,2,118139,22,0
Treap,524288,2,142536,46,0
SkipList_p05,524288,2,247239,24,0
SkipList_p025,524288,2,295468,9,0
SkipList_p075,524288,2,258586,33,0
BST,524288,3,113290,48,0
AVL,524288,3,115564,22,0
Treap,524288,3,140959,47,0
SkipList_p05,524288,3,246720,21,0
SkipList_p025,524288,3,283928,10,0
SkipList_p075,524288,3,257655,33,0
BST,524288,4,116978,48,0
AVL,524288,4,116045,23,0
Treap,524288,4,141353,48,0
SkipList_p05,524288,4,252827,19,0
SkipList_p025,524288,4,289513,10,0
SkipList_p075,524288,4,247242,33,0
BST,524288,5,113804,46,0
AVL,524288,5,138698,22,0
Treap,524288,5,175122,44,0
SkipList_p05,524288,5,250649,20,0
SkipList_p025,524288,5,292511,11,0
SkipList_p075,524288,5,310383,33,0
BST,524288,6,113493,45,0
AVL,524288,6,116529,22,0
Treap,524288,6,151088,48,0
SkipList_p05,524288,6,248293,18,0
SkipList_p025,524288,6,287647,10,0
SkipList_p075,524288,6,278679,33,0
BST,524288,7,134228,52,0
AVL,524288,7,121597,22,0
Treap,524288,7,147941,47,0
SkipList_p05,524288,7,261537,23,0
SkipList_p025,524288,7,347458,9,0
SkipList_p075,524288,7,339822,33,0
BST,524288,8,108206,48,0
AVL,524288,8,123926,22,0
Treap,524288,8,144931,43,0
SkipList_p05,524288,8,248740,19,0
SkipList_p025,524288,8,286030,10,0
SkipList_p075,524288,8,326862,33,0
BST,524288,9,122280,45,0
AVL,524288,9,127465,23,0
Treap,524288,9,141086,48,0
